,filename,part,staff,time_signature,duration,rest_count
0,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/4,1
1,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,3/16,1
2,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
3,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/2,1
4,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
5,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
6,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
7,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
8,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
9,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
10,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
11,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
12,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/12,1
13,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/16,1
14,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,3/16,1
15,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,3/16,1
16,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/4,1
17,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/8,1
18,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
19,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,3/16,1
20,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/4,1
21,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,3/16,1
22,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/8,1
23,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/4,1
24,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/4,1
25,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/4,1
26,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/8,1
27,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/2,1
28,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
29,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/12,1
30,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/16,1
31,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
32,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/4,1
33,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
34,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
35,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,3/16,1
36,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
37,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
38,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/16,1
39,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
40,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
41,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
42,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/4,1
43,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/16,1
44,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/12,1
45,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
46,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,3/16,1
47,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/12,1
48,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/4,1
49,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/4,1
50,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
51,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,3/16,1
52,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/4,1
53,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,2,2/2,1/8,1
54,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/4,1
55,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/4,1
56,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/4,1
57,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/4,1
58,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1,1
59,20231024_12_50_06_770027__n_notes_2_2_sequence.csv,part_1,1,2/2,1/4,1
60,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
61,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
62,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
63,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
64,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
65,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/8,1
66,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
67,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
68,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
69,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
70,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
71,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
72,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
73,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
74,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
75,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/8,1
76,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,1,2/4,1/8,1
77,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,1,2/4,1/8,1
78,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/8,1
79,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/8,1
80,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/8,1
81,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
82,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,1,2/4,1/8,1
83,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,1,2/4,1/8,1
84,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,1,2/4,1/8,1
85,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,1,2/4,1/8,1
86,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,1,2/4,1/8,1
87,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,1,2/4,1/8,1
88,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
89,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
90,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
91,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
92,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
93,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
94,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
95,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/8,1
96,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/8,1
97,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
98,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
99,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
100,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
101,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
102,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
103,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
104,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
105,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
106,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/8,1
107,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
108,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,1,2/4,1/8,1
109,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,1,2/4,1/8,1
110,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/8,1
111,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/8,1
112,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/8,1
113,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,2,2/4,1/16,1
114,20231024_12_50_06_770027__n_notes_2_4_sequence.csv,part_1,1,2/4,1/8,1
