,filename,part,staff,midi
0,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,56
1,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,58
2,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,61
3,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,63
4,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,2,51
5,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,69
6,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,73
7,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,72
8,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,69
9,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,73
10,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,69
11,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,72
12,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,69
13,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,73
14,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,72
15,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,69
16,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,69
17,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,73
18,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,72
19,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,62
20,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,63
21,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,65
22,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,62
23,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,63
24,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,62
25,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,61
26,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,59
27,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,56
28,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,59
29,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,64
30,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,69
31,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,73
32,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,72
33,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,69
34,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,73
35,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,69
36,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,72
37,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,69
38,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,73
39,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,72
40,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,69
41,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,72
42,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,73
43,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,72
44,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,69
45,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,73
46,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,72
47,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,67
48,20230622_13_35_47_243482__n_notes_2_2_sequence.csv,part_1,1,69
