,staff01_note01,staff01_note02,staff01_note03,staff01_note04,staff01_note05,staff02_note01,staff02_note02,staff02_note03,staff02_note04,staff02_note05
0,0,0,0,0,0,0,0,0,0,0
1,71,0,0,0,0,0,0,0,0,0
2,71,0,0,0,0,36,48,0,0,0
3,0,0,0,0,0,31,43,0,0,0
4,0,0,0,0,0,36,48,0,0,0
5,63,67,69,71,72,36,48,0,0,0
6,63,67,72,0,0,36,48,0,0,0
7,72,0,0,0,0,31,43,0,0,0
8,66,72,75,0,0,0,0,0,0,0
9,66,72,75,0,0,32,44,0,0,0
10,72,0,0,0,0,0,0,0,0,0
11,65,71,74,0,0,31,43,0,0,0
12,0,0,0,0,0,35,47,0,0,0
13,0,0,0,0,0,34,46,0,0,0
14,0,0,0,0,0,33,45,0,0,0
15,63,67,72,0,0,32,44,0,0,0
16,0,0,0,0,0,36,0,0,0,0
17,68,72,74,76,77,41,53,0,0,0
18,0,0,0,0,0,41,53,0,0,0
19,68,72,77,0,0,41,53,0,0,0
20,76,0,0,0,0,0,0,0,0,0
21,77,0,0,0,0,36,48,0,0,0
22,71,77,80,0,0,0,0,0,0,0
23,71,77,80,0,0,37,49,0,0,0
24,77,0,0,0,0,0,0,0,0,0
25,70,76,79,0,0,36,48,0,0,0
26,0,0,0,0,0,40,52,0,0,0
27,0,0,0,0,0,39,51,0,0,0
28,0,0,0,0,0,38,50,0,0,0
29,68,72,77,0,0,37,49,0,0,0
30,0,0,0,0,0,41,0,0,0,0
31,68,72,0,0,0,0,0,0,0,0
32,62,0,0,0,0,0,0,0,0,0
33,68,72,0,0,0,41,53,0,0,0
34,65,68,72,0,0,41,53,0,0,0
35,65,67,71,0,0,0,0,0,0,0
36,65,67,71,0,0,43,55,0,0,0
37,0,0,0,0,0,43,55,0,0,0
38,67,0,0,0,0,0,0,0,0,0
39,59,65,68,0,0,43,55,0,0,0
40,59,65,68,0,0,38,50,0,0,0
41,60,63,67,0,0,43,55,0,0,0
42,55,0,0,0,0,0,0,0,0,0
43,60,0,0,0,0,36,48,0,0,0
44,63,67,0,0,0,0,0,0,0,0
45,62,65,0,0,0,35,47,0,0,0
46,60,63,0,0,0,0,0,0,0,0
47,63,67,0,0,0,34,46,0,0,0
48,62,65,0,0,0,0,0,0,0,0
49,60,63,0,0,0,33,45,0,0,0
50,60,0,0,0,0,0,0,0,0,0
51,54,60,63,0,0,32,44,0,0,0
52,54,59,62,0,0,31,43,0,0,0
53,51,55,60,0,0,36,48,0,0,0
54,67,0,0,0,0,55,0,0,0,0
55,68,0,0,0,0,56,0,0,0,0
56,66,0,0,0,0,54,0,0,0,0
57,65,0,0,0,0,53,0,0,0,0
58,63,0,0,0,0,51,0,0,0,0
59,62,0,0,0,0,50,0,0,0,0
60,60,0,0,0,0,48,0,0,0,0
61,59,65,67,0,0,43,55,0,0,0
62,60,63,72,0,0,36,48,0,0,0
63,67,79,0,0,0,0,0,0,0,0
64,66,78,0,0,0,0,0,0,0,0
65,68,80,0,0,0,0,0,0,0,0
66,0,0,0,0,0,56,62,65,0,0
67,0,0,0,0,0,55,61,64,0,0
68,0,0,0,0,0,54,60,63,0,0
69,68,80,0,0,0,53,59,62,0,0
70,67,79,0,0,0,59,62,65,0,0
71,66,78,0,0,0,31,43,0,0,0
72,0,0,0,0,0,59,62,65,0,0
73,75,87,0,0,0,36,48,0,0,0
74,0,0,0,0,0,55,60,63,0,0
75,72,84,0,0,0,31,43,0,0,0
76,72,84,0,0,0,36,48,0,0,0
77,62,74,0,0,0,31,43,0,0,0
78,65,77,0,0,0,59,62,0,0,0
79,63,72,75,0,0,36,48,0,0,0
80,60,63,67,72,0,38,50,0,0,0
81,60,63,67,72,0,39,51,0,0,0
82,67,79,0,0,0,38,50,0,0,0
83,66,78,0,0,0,36,48,0,0,0
84,75,87,0,0,0,55,60,63,0,0
85,74,86,0,0,0,0,0,0,0,0
86,75,87,0,0,0,0,0,0,0,0
87,72,84,0,0,0,51,58,61,0,0
88,71,83,0,0,0,0,0,0,0,0
89,80,0,0,0,0,51,56,60,0,0
90,65,77,0,0,0,50,55,59,0,0
91,64,76,0,0,0,0,0,0,0,0
92,67,79,0,0,0,46,58,0,0,0
93,0,0,0,0,0,58,63,67,0,0
94,75,0,0,0,0,45,57,0,0,0
95,0,0,0,0,0,57,63,67,0,0
96,74,0,0,0,0,0,0,0,0,0
97,66,72,75,0,0,44,56,0,0,0
98,72,0,0,0,0,44,56,0,0,0
99,65,71,74,0,0,43,55,0,0,0
100,63,67,72,0,0,48,0,0,0,0
101,59,63,67,0,0,43,55,0,0,0
102,62,63,64,66,67,36,48,0,0,0
103,60,64,0,0,0,0,0,0,0,0
104,60,64,0,0,0,36,48,0,0,0
105,63,66,0,0,0,33,45,0,0,0
106,57,0,0,0,0,0,0,0,0,0
107,67,68,69,71,72,41,53,0,0,0
108,65,69,0,0,0,0,0,0,0,0
109,65,69,0,0,0,41,53,0,0,0
110,68,75,0,0,0,0,0,0,0,0
111,69,76,0,0,0,41,53,0,0,0
112,68,74,0,0,0,0,0,0,0,0
113,67,72,0,0,0,0,0,0,0,0
114,67,72,0,0,0,43,55,0,0,0
115,59,65,69,0,0,31,43,0,0,0
116,60,64,67,0,0,36,48,0,0,0
117,64,67,0,0,0,35,47,0,0,0
118,63,66,0,0,0,31,43,0,0,0
119,62,65,0,0,0,36,48,0,0,0
120,60,64,0,0,0,31,43,0,0,0
121,59,62,0,0,0,0,0,0,0,0
122,59,62,0,0,0,36,48,0,0,0
123,64,67,0,0,0,36,48,0,0,0
