,filename,part,staff,time_signature,duration,n_note_count
0,african.mscz,part_1,1,4/4,1/4,112
1,After_Hours_1923.mscz,part_1,1,2/2,0,42
2,After_Hours_1923.mscz,part_1,1,2/2,1/8,335
3,After_Hours_1923.mscz,part_1,1,2/2,1/4,142
4,After_Hours_1923.mscz,part_1,1,2/2,3/8,63
5,After_Hours_1923.mscz,part_1,1,2/2,1/2,33
6,After_Hours_1923.mscz,part_1,1,2/2,1,66
7,After_Hours_1923.mscz,part_1,2,2/2,0,212
8,After_Hours_1923.mscz,part_1,2,2/2,1/8,83
9,After_Hours_1923.mscz,part_1,2,2/2,1/4,576
10,After_Hours_1923.mscz,part_1,2,2/2,3/8,6
11,After_Hours_1923.mscz,part_1,2,2/2,1/2,5
12,After_Were_Gone.mscz,part_1,1,4/4,1/12,9
13,After_Were_Gone.mscz,part_1,1,4/4,1/8,79
14,After_Were_Gone.mscz,part_1,1,4/4,1/4,8
15,After_Were_Gone.mscz,part_1,1,4/4,3/8,8
16,After_Were_Gone.mscz,part_1,1,4/4,1/2,14
17,After_Were_Gone.mscz,part_1,2,4/4,1/8,1
18,After_Were_Gone.mscz,part_1,2,4/4,1/4,37
19,After_Were_Gone.mscz,part_1,2,4/4,1/2,26
20,After_Were_Gone.mscz,part_1,2,4/4,3/4,3
21,After_Were_Gone.mscz,part_1,2,4/4,1,3
22,After_Youve_Gone_Concert.mscz,part_1,1,4/4,1/8,69
23,After_Youve_Gone_Concert.mscz,part_1,1,4/4,1/4,9
24,After_Youve_Gone_Concert.mscz,part_1,1,4/4,3/8,4
25,After_Youve_Gone_Concert.mscz,part_1,1,4/4,1/2,10
26,After_Youve_Gone_Concert.mscz,part_1,1,4/4,3/4,1
27,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,0,21
28,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,1/24,30
29,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,1/16,88
30,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,1/8,560
31,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,3/16,15
32,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,1/4,105
33,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,3/8,40
34,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,1/2,30
35,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,3/4,4
36,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,1,2
37,Albert_Ammons_-_Monday_Struggle.mscz,part_1,2,2/2,1/8,1148
38,Albert_Ammons_-_Monday_Struggle.mscz,part_1,2,2/2,1/4,8
39,Alexanders_Ragtime_Band (1).mscz,part_1,1,4/4,1/16,41
40,Alexanders_Ragtime_Band (1).mscz,part_1,1,4/4,1/8,36
41,Alexanders_Ragtime_Band (1).mscz,part_1,1,4/4,3/16,40
42,Alexanders_Ragtime_Band (1).mscz,part_1,1,4/4,1/4,62
43,Alexanders_Ragtime_Band (1).mscz,part_1,1,4/4,3/8,6
44,Alexanders_Ragtime_Band (1).mscz,part_1,1,4/4,1/2,24
45,Alexanders_Ragtime_Band (1).mscz,part_1,1,4/4,1,1
46,Alexanders_Ragtime_Band (1).mscz,part_2,2,4/4,1/16,77
47,Alexanders_Ragtime_Band (1).mscz,part_2,2,4/4,3/32,4
48,Alexanders_Ragtime_Band (1).mscz,part_2,2,4/4,1/8,69
49,Alexanders_Ragtime_Band (1).mscz,part_2,2,4/4,3/16,97
50,Alexanders_Ragtime_Band (1).mscz,part_2,2,4/4,1/4,167
51,Alexanders_Ragtime_Band (1).mscz,part_2,2,4/4,3/8,18
52,Alexanders_Ragtime_Band (1).mscz,part_2,2,4/4,1/2,37
53,Alexanders_Ragtime_Band (1).mscz,part_2,3,4/4,1/16,12
54,Alexanders_Ragtime_Band (1).mscz,part_2,3,4/4,1/8,22
55,Alexanders_Ragtime_Band (1).mscz,part_2,3,4/4,3/16,12
56,Alexanders_Ragtime_Band (1).mscz,part_2,3,4/4,1/4,400
57,Alexanders_Ragtime_Band (1).mscz,part_2,3,4/4,1/2,18
58,All_the_Things_You_are__Hammerstein_and_Kern.mscz,part_1,1,4/4,1/8,2
59,All_the_Things_You_are__Hammerstein_and_Kern.mscz,part_1,1,4/4,1/6,6
60,All_the_Things_You_are__Hammerstein_and_Kern.mscz,part_1,1,4/4,1/4,56
61,All_the_Things_You_are__Hammerstein_and_Kern.mscz,part_1,1,4/4,3/8,2
62,All_the_Things_You_are__Hammerstein_and_Kern.mscz,part_1,1,4/4,1/2,10
63,All_the_Things_You_are__Hammerstein_and_Kern.mscz,part_1,1,4/4,3/4,4
64,All_the_Things_You_are__Hammerstein_and_Kern.mscz,part_1,1,4/4,1,12
65,Almost_like_being_in_Love.mscz,part_1,1,4/4,1/8,2
66,Almost_like_being_in_Love.mscz,part_1,1,4/4,1/4,55
67,Almost_like_being_in_Love.mscz,part_1,1,4/4,1/2,19
68,Almost_like_being_in_Love.mscz,part_1,1,4/4,1,5
69,Almost_Like_Being_in_Love__Eb.mscz,part_1,1,4/4,1/8,2
70,Almost_Like_Being_in_Love__Eb.mscz,part_1,1,4/4,1/4,63
71,Almost_Like_Being_in_Love__Eb.mscz,part_1,1,4/4,1/2,33
72,Almost_Like_Being_in_Love__Eb.mscz,part_1,1,4/4,3/4,2
73,Almost_Like_Being_in_Love__Eb.mscz,part_1,1,4/4,1,18
74,Almost_Like_Being_in_Love__Eb.mscz,part_1,2,4/4,1/4,52
75,Almost_Like_Being_in_Love__Eb.mscz,part_1,2,4/4,1/2,30
76,Almost_Like_Being_in_Love__Eb.mscz,part_1,2,4/4,3/4,1
77,Almost_Like_Being_in_Love__Eb.mscz,part_1,2,4/4,1,2
78,Amazing_Grace (1).mscz,part_1,1,3/4,0,6
79,Amazing_Grace (1).mscz,part_1,1,3/4,1/16,12
80,Amazing_Grace (1).mscz,part_1,1,3/4,1/8,25
81,Amazing_Grace (1).mscz,part_1,1,3/4,1/4,74
82,Amazing_Grace (1).mscz,part_1,1,3/4,1/2,33
83,Amazing_Grace (1).mscz,part_1,1,3/4,3/4,1
84,Amazing_Grace (1).mscz,part_1,2,3/4,1/8,8
85,Amazing_Grace (1).mscz,part_1,2,3/4,1/4,62
86,Amazing_Grace (1).mscz,part_1,2,3/4,1/2,4
87,Amazing_Grace (1).mscz,part_1,2,3/4,3/4,2
88,Amazing_Grace.mscz,part_1,1,3/4,1/8,12
89,Amazing_Grace.mscz,part_1,1,3/4,1/4,8
90,Amazing_Grace.mscz,part_1,1,3/4,1/2,14
91,Amazing_Grace.mscz,part_1,1,3/4,3/4,2
92,Amazing_Grace.mscz,part_1,2,3/4,1/8,110
93,Amazing_Grace.mscz,part_1,2,3/4,1/4,3
