,filename,part,staff,time_signature,duration,rest_count
0,After_Hours_1923.mscz,part_1,1,2/2,1/8,3
1,After_Hours_1923.mscz,part_1,1,2/2,1/4,9
2,After_Hours_1923.mscz,part_1,1,2/2,1,8
3,After_Hours_1923.mscz,part_1,2,2/2,1/4,20
4,After_Hours_1923.mscz,part_1,2,2/2,1/2,4
5,After_Were_Gone.mscz,part_1,1,4/4,1/8,17
6,After_Were_Gone.mscz,part_1,2,4/4,1/8,1
7,After_Youve_Gone_Concert.mscz,part_1,1,4/4,1/8,7
8,After_Youve_Gone_Concert.mscz,part_1,1,4/4,1,1
9,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,1/8,40
10,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,3/16,1
11,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,1/4,13
12,Albert_Ammons_-_Monday_Struggle.mscz,part_1,1,2/2,1/2,5
13,Albert_Ammons_-_Monday_Struggle.mscz,part_1,2,2/2,1/8,4
14,Albert_Ammons_-_Monday_Struggle.mscz,part_1,2,2/2,1/4,2
15,Albert_Ammons_-_Monday_Struggle.mscz,part_1,2,2/2,1/2,2
16,Albert_Ammons_-_Monday_Struggle.mscz,part_1,2,2/2,1,2
17,Alexanders_Ragtime_Band (1).mscz,part_1,1,4/4,3/16,1
18,Alexanders_Ragtime_Band (1).mscz,part_1,1,4/4,1/4,15
19,Alexanders_Ragtime_Band (1).mscz,part_1,1,4/4,1,6
20,Alexanders_Ragtime_Band (1).mscz,part_2,2,4/4,1/8,1
21,Alexanders_Ragtime_Band (1).mscz,part_2,2,4/4,3/16,1
22,Alexanders_Ragtime_Band (1).mscz,part_2,2,4/4,1/4,27
23,Alexanders_Ragtime_Band (1).mscz,part_2,2,4/4,1/2,1
24,Alexanders_Ragtime_Band (1).mscz,part_2,3,4/4,1/16,2
25,Alexanders_Ragtime_Band (1).mscz,part_2,3,4/4,1/8,2
26,Alexanders_Ragtime_Band (1).mscz,part_2,3,4/4,3/16,2
27,Alexanders_Ragtime_Band (1).mscz,part_2,3,4/4,1/4,10
28,Almost_like_being_in_Love.mscz,part_1,1,4/4,1/4,4
29,Almost_Like_Being_in_Love__Eb.mscz,part_1,1,4/4,1/4,6
30,Almost_Like_Being_in_Love__Eb.mscz,part_1,1,4/4,1/2,2
31,Almost_Like_Being_in_Love__Eb.mscz,part_1,2,4/4,1/4,5
32,Almost_Like_Being_in_Love__Eb.mscz,part_1,2,4/4,1/2,1
33,Amazing_Grace (1).mscz,part_1,2,3/4,1/4,1
34,Amazing_Grace (1).mscz,part_1,2,3/4,3/4,1
35,Amazing_Grace.mscz,part_1,1,3/4,1/4,1
36,Amazing_Grace.mscz,part_1,2,3/4,1/4,29
37,Amazing_Grace_-_Alan_Broz.mscz,part_1,1,3/4,1/16,9
38,Amazing_Grace_-_Alan_Broz.mscz,part_1,1,3/4,1/8,26
39,Amazing_Grace_-_Alan_Broz.mscz,part_1,1,3/4,1/4,5
40,Amazing_Grace_-_Alan_Broz.mscz,part_1,2,3/4,1/8,6
41,Amazing_Grace_Easy_Piano.mscz,part_1,1,3/4,1/8,2
42,Amazing_Grace_Easy_Piano.mscz,part_1,2,3/4,1/4,1
43,Angel_Eyes1.mscz,part_1,1,4/4,1/8,7
44,Angel_Eyes__Matt_DennisEarl_Brent.mscz,part_1,1,4/4,1/8,3
45,Angel_Eyes__Matt_DennisEarl_Brent.mscz,part_1,1,4/4,1/4,2
46,Angel_Eyes__Matt_DennisEarl_Brent.mscz,part_1,1,4/4,1/2,1
47,Angel_Eyes__Matt_DennisEarl_Brent.mscz,part_1,2,2/4,1/4,1
48,Anyone_else_noticed_question.mscz,part_1,1,2/4,1/16,24
49,Anyone_else_noticed_question.mscz,part_1,1,2/4,1/8,8
50,Anyone_else_noticed_question.mscz,part_1,2,2/4,1/8,12
51,Anyone_else_noticed_question.mscz,part_1,2,2/4,1/4,4
52,Anytime_Lead_sheet_with_lyrics_.mscz,part_1,1,4/4,1/2,2
53,Around_The_World.mscz,part_1,1,3/4,1/8,11
54,Around_The_World.mscz,part_1,2,3/4,1/4,1
55,A_Black_Hand_by_Robert_Hoffman_1908.mscz,part_1,1,2/4,1/16,24
56,A_Black_Hand_by_Robert_Hoffman_1908.mscz,part_1,1,2/4,1/8,15
