,prev_n_notes_id,actual_n_notes_id,next_n_notes_id
0,0,1,0
1,0,2,3
2,2,3,4
3,3,4,3
4,4,3,4
5,4,3,5
6,3,5,3
7,5,3,4
8,4,3,6
9,3,6,1
10,6,1,7
11,1,7,8
12,7,8,9
13,8,9,10
14,9,10,11
15,10,11,6
16,11,6,12
17,6,12,13
18,12,13,14
19,13,14,15
20,14,15,3
21,15,3,16
22,3,16,0
23,16,4,18
24,4,18,4
25,18,4,19
26,4,19,20
27,19,20,21
28,20,21,22
29,21,22,23
30,22,23,24
31,23,24,25
32,24,25,19
33,25,19,26
34,19,26,27
35,26,27,28
36,27,28,29
37,28,29,4
38,29,4,30
39,4,30,31
40,30,31,32
41,31,32,33
42,32,33,32
43,33,32,34
44,32,34,35
45,34,35,36
46,35,36,37
47,36,37,38
48,37,38,39
49,38,39,38
50,39,38,40
51,38,40,41
52,40,41,3
53,41,3,42
54,3,42,43
55,42,43,44
56,43,44,45
57,44,45,46
58,45,46,47
59,46,47,48
60,47,48,49
61,48,49,50
62,49,50,51
63,50,51,50
64,51,50,52
65,50,52,53
66,52,53,0
67,53,3,4
68,11,6,54
69,6,54,55
70,54,55,56
71,55,56,54
72,56,54,57
73,54,57,58
74,57,58,59
75,58,59,60
76,59,60,61
77,60,61,62
78,61,62,0
79,62,63,64
80,63,64,63
81,64,63,65
82,63,65,66
83,65,66,67
84,66,67,68
85,67,68,69
86,68,69,70
87,69,70,71
88,70,71,63
89,71,63,72
90,63,72,73
91,72,73,74
92,73,74,75
93,74,75,74
94,75,74,76
95,74,76,63
96,76,63,64
97,69,70,77
98,70,77,78
99,77,78,79
100,78,79,28
101,79,28,27
102,28,27,4
103,27,4,80
104,4,80,27
105,80,27,4
106,27,4,28
107,4,28,81
108,28,81,4
109,81,4,82
110,4,82,27
111,82,27,83
112,27,83,63
113,83,63,65
114,68,69,63
115,69,63,64
116,64,63,84
117,63,84,85
118,84,85,86
119,85,86,87
120,86,87,88
121,87,88,87
122,88,87,89
123,87,89,63
124,89,63,65
125,63,65,90
126,65,90,91
127,90,91,90
128,91,90,64
129,90,64,92
