,staff01_notes,staff01_durations,staff02_notes,staff02_durations
0,"[71, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[36, 48, 0, 0, 0]","['3/4', '1/6', 0, 0, 0]"
1,"[72, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
2,"[70, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,"[77, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
4,"[74, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
5,"[72, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
6,"[70, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
7,"[77, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,"[75, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
9,"[76, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
10,"[74, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
11,"[72, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,"[70, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
13,"[77, 0, 0, 0, 0]","['1/16', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
14,"[74, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
15,"[72, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,"[70, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
17,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[51, 55, 61, 0, 0]","['1/8', '1/8', '1/8', 0, 0]"
18,"[79, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
19,"[84, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
20,"[77, 81, 86, 0, 0]","['1/4', '1/8', '1/4', 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
21,"[84, 0, 0, 0, 0]","['1/2', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
22,"[86, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
23,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[57, 62, 65, 0, 0]","['1/8', '1/8', '1/4', 0, 0]"
24,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[48, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]"
25,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[56, 60, 65, 0, 0]","['1/8', '1/8', '1/8', 0, 0]"
26,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[48, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]"
27,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[55, 60, 64, 0, 0]","['1/8', '1/2', '1/4', 0, 0]"
28,"[88, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
29,"[93, 96, 0, 0, 0]","['1/8', '1/4', 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
30,"[98, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
31,"[96, 0, 0, 0, 0]","['3/4', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
32,"[95, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
33,"[91, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
34,"[83, 95, 0, 0, 0]","['1/4', '1/8', 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
35,"[93, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
36,"[96, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
37,"[95, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
38,"[91, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
39,"[83, 95, 0, 0, 0]","['1/8', '1/8', 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
40,"[78, 90, 0, 0, 0]","['1/4', '1/8', 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
41,"[79, 91, 0, 0, 0]","['1/8', '1/8', 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
42,"[78, 90, 0, 0, 0]","['1/4', '1/4', 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
43,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[54, 60, 63, 0, 0]","['1/4', '1/8', '1/4', 0, 0]"
44,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[55, 60, 64, 0, 0]","['1/4', '1/8', '1/8', 0, 0]"
45,"[88, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
46,"[93, 96, 0, 0, 0]","['1/4', '1/4', 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
47,"[98, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
48,"[96, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
49,"[95, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
50,"[91, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
51,"[83, 95, 0, 0, 0]","['1/8', '1/4', 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
52,"[93, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
53,"[96, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
54,"[95, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
55,"[91, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
56,"[83, 95, 0, 0, 0]","['1/12', '1/4', 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
57,"[90, 0, 0, 0, 0]","['1/8', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
58,"[86, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
59,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[57, 62, 65, 0, 0]","['1/4', '1/4', '1/4', 0, 0]"
60,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[48, 0, 0, 0, 0]","['1/4', 0, 0, 0, 0]"
